Instance,Nodes,Edges,Exact_Size,Exact_Time,Exact_Status,Heuristic_Status,Heuristic_Size,Heuristic_Time,Quality,Speedup
C125.9,125,6963,31,30.101,COMPLETED,COMPLETED,33,1.73685,1.065,17.3
C250.9,250,27984,37,30.03,COMPLETED,COMPLETED,40,5.345559,1.081,5.6
C500.9,500,112332,43,30.136,COMPLETED,COMPLETED,48,23.990799,1.116,1.3
C1000.9,1000,450079,0,30.0,ERROR,COMPLETED,54,60.316251,0.0,0.5
C2000.9,2000,1799532,0,30.0,ERROR,COMPLETED,61,61.288227,0.0,0.5
DSJC1000_5,1000,249826,0,30.0,ERROR,COMPLETED,13,13.786016,0.0,2.2
DSJC500_5,500,62624,12,30.059,COMPLETED,COMPLETED,12,3.744518,1.0,8.0
C2000.5,2000,999836,0,30.0,ERROR,COMPLETED,14,60.065101,0.0,0.5
C4000.5,4000,4000268,0,30.0,ERROR,COMPLETED,14,63.398794,0.0,0.5
MANN_a27,378,70551,125,30.388,COMPLETED,COMPLETED,120,60.316355,0.96,0.5
